Time,Program,Details
09:00 – 09:15,Opening remarks,Organizing committee
09:15 – 09:45,Invited talk,Sherry Yang
09:45 – 10:15,Invited talk,Mihaela van der Schaar
10:15 – 10:45,Oral presentations,Authors of selected papers (2 × 15 min talk)
10:45 – 11:45,Poster session,All accepted contributions
11:45 – 12:30,Lunch & poster session,All accepted contributions
12:30 – 13:00,Invited talk,Scott Linderman
13:00 – 13:30,Invited talk,Rose Yu
13:30 – 14:00,Oral presentations,Authors of selected papers (2 × 15 min talk)
15:00 – 16:00,Coffee break & poster session,All accepted contributions
16:00 – 16:30,Invited talk,Naoya Takeishi
16:30 – 17:30,Panel discussion,Emily Fox, William Gilpin, Joseph Futoma
